Date,Open,High,Low,Close,Volume
03/04/2024,"139.94","141.99","137.68","138.26","26,544,609"
03/01/2024,"130.13","136.65","130.10","133.90","24,393,051"
02/29/2024,"128.03","129.19","127.15","128.67","9,369,902"
02/28/2024,"128.50","128.58","126.65","127.38","6,519,095"
02/27/2024,"130.77","131.97","128.59","128.59","8,851,789"
02/26/2024,"130.02","131.23","128.56","130.64","9,526,723"
02/23/2024,"130.50","131.01","127.73","129.53","10,123,350"
02/22/2024,"129.69","131.48","129.00","129.07","17,014,119"
02/21/2024,"124.43","125.38","122.91","125.34","11,578,140"
02/20/2024,"126.89","127.06","124.15","125.33","12,038,780"
02/16/2024,"127.13","128.64","125.81","126.69","13,104,420"
02/15/2024,"130.80","131.13","128.35","129.03","12,553,980"
02/14/2024,"129.63","130.79","127.96","129.27","13,069,690"
02/13/2024,"127.93","129.92","126.48","127.55","14,493,980"
02/12/2024,"133.27","133.51","130.26","130.46","14,203,770"
02/09/2024,"134.50","135.17","130.59","133.11","16,984,170"
02/08/2024,"127.00","134.75","126.11","133.73","33,367,012"
02/07/2024,"120.01","125.00","120.00","124.98","18,172,529"
02/06/2024,"120.12","120.99","118.28","119.38","11,511,860"
02/05/2024,"117.13","119.54","116.58","118.79","13,267,630"
02/02/2024,"114.86","115.96","113.92","115.75","10,043,960"
02/01/2024,"113.80","114.03","112.61","113.39","8,807,585"
01/31/2024,"113.50","114.74","112.88","112.96","12,853,860"
01/30/2024,"116.36","118.01","115.56","116.06","11,030,840"
01/29/2024,"117.17","117.87","115.76","116.98","10,042,240"
01/26/2024,"116.90","118.04","116.30","117.26","10,196,440"
01/25/2024,"118.02","118.84","116.48","116.56","15,485,260"
01/24/2024,"115.33","118.85","114.61","116.52","21,859,180"
01/23/2024,"113.52","114.62","113.16","114.13","11,667,880"
01/22/2024,"114.78","115.10","112.52","113.03","17,755,539"
01/19/2024,"113.22","115.15","111.02","114.20","37,812,594"
01/18/2024,"111.20","113.39","109.48","113.03","58,783,719"
01/17/2024,"100.87","103.33","100.00","102.95","17,649,520"
01/16/2024,"100.53","102.35","100.20","101.67","11,185,520"
01/12/2024,"100.89","102.38","100.87","101.24","6,519,711"
01/11/2024,"101.70","102.16","99.99","101.22","7,862,691"
01/10/2024,"102.52","102.78","99.98","100.80","6,975,726"
01/09/2024,"101.05","101.97","100.21","101.89","7,763,961"
01/08/2024,"100.63","102.79","100.50","102.24","12,455,560"
01/05/2024,"99.00","100.64","98.80","99.61","7,347,316"
01/04/2024,"99.53","100.44","99.12","99.13","7,996,713"
01/03/2024,"100.34","101.25","99.66","100.17","6,650,601"
01/02/2024,"102.25","102.62","100.59","101.53","9,020,864"
12/29/2023,"104.72","104.97","103.67","104.00","4,409,641"
12/28/2023,"105.00","105.52","104.70","104.70","5,335,145"
12/27/2023,"105.05","105.37","104.08","104.65","5,889,724"
12/26/2023,"103.61","104.96","103.57","104.45","6,407,484"
12/22/2023,"102.93","103.59","102.71","103.15","5,566,576"
12/21/2023,"101.30","102.72","101.16","102.55","9,068,244"
12/20/2023,"102.70","103.09","99.94","100.04","10,814,080"
12/19/2023,"103.24","103.98","103.09","103.87","8,498,473"
12/18/2023,"102.84","103.31","102.08","102.93","5,660,567"
12/15/2023,"103.50","104.76","102.39","102.54","16,379,240"
12/14/2023,"103.35","103.81","102.80","103.45","10,074,500"
12/13/2023,"101.40","102.68","100.91","102.12","8,988,814"
12/12/2023,"100.15","101.65","99.95","101.60","7,378,574"
12/11/2023,"99.57","101.21","99.37","100.95","9,482,773"
12/08/2023,"99.12","100.37","98.95","100.35","10,572,460"
12/07/2023,"97.96","99.64","97.89","99.29","11,373,670"
12/06/2023,"97.80","98.57","97.45","97.85","11,262,270"
12/05/2023,"96.46","97.02","95.88","96.69","8,009,587"
12/04/2023,"97.05","97.20","95.25","97.01","10,619,350"
12/01/2023,"97.70","98.78","97.02","98.55","7,500,388"
11/30/2023,"98.93","98.98","96.90","97.31","9,681,363"
11/29/2023,"99.00","99.73","98.60","98.88","7,091,122"
11/28/2023,"97.87","98.25","97.24","97.98","6,358,143"
11/27/2023,"97.42","97.55","96.42","97.21","6,856,096"
11/24/2023,"98.48","98.73","97.47","97.83","4,297,621"
11/22/2023,"98.72","99.65","97.95","98.65","7,416,466"
11/21/2023,"100.00","100.15","98.24","98.41","10,112,620"
11/20/2023,"99.90","100.59","99.54","99.96","6,452,894"
11/17/2023,"98.94","99.72","98.32","99.58","7,247,710"
11/16/2023,"98.24","99.10","97.91","98.54","8,459,045"
11/15/2023,"99.95","100.70","98.42","98.80","10,422,890"
11/14/2023,"98.00","99.69","97.95","98.91","13,873,240"
11/13/2023,"97.01","97.18","95.72","96.42","9,526,286"
11/10/2023,"94.04","97.75","93.61","97.44","19,292,869"
11/09/2023,"92.63","93.37","91.60","91.62","8,166,021"
11/08/2023,"93.33","93.44","91.93","92.00","6,537,666"
11/07/2023,"92.25","93.05","91.75","92.41","6,241,257"
11/06/2023,"92.00","92.61","91.29","92.60","8,402,708"
11/03/2023,"91.65","92.45","90.84","91.79","9,226,706"
11/02/2023,"90.40","91.05","89.47","90.48","11,032,580"
11/01/2023,"86.47","87.87","86.34","87.80","9,508,804"
10/31/2023,"86.15","86.43","84.95","86.31","9,004,922"
10/30/2023,"87.31","88.30","86.00","86.06","9,785,511"
